Author;Book title;Review
DeMarco, M.J.;The Millionaire Fastlane: Crack the Code to Wealth and Live Rich for a Lifetime!;
McKeown, Greg;Effortless: Make It Easier to Do What Matters Most;
Meurisse, Thibaut;Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things;
Thompson, Hunter S.;Fear and Loathing in Las Vegas;
Zauner, Michelle;Crying in H Mart;
Nagoski, Emily;Come as You Are: The Surprising New Science that Will Transform Your Sex Life;
Rosenberg, Marshall B.;Non Violent Communication A Language of Life;
Obama, Barack;A Promised Land;
Harasta, Jesse;Chichen Itza: The History and Mystery of the Maya's Most Famous City;
Hallet, Wolfgang;Paul Auster: Moon Palace;
Oluo, Ijeoma;So You Want to Talk About Race;
DiAngelo, Robin;White Fragility: Why It's So Hard for White People to Talk About Racism;
McKeown, Patrick;The Oxygen Advantage: The Simple, Scientifically Proven Breathing Techniques for a Healthier, Slimmer, Faster, and Fitter You;
Nestor, James;Breath: The New Science of a Lost Art;
Hazlitt, Henry;Economics in One Lesson;
Wong, Ali;Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life;
Ferreira Filho, Wladston;Computer Science Distilled: Learn the Art of Solving Computational Problems;
Stefanov, Stoyan;Object-oriented Javascript: Create Scalable, Reusable High-quality Javascript Applications, and Libraries;
Resig, John;Secrets of the JavaScript Ninja;
Haverbeke, Marijn;Eloquent JavaScript: A Modern Introduction to Programming;
